0,2438学園,元プロチーム「Libalent Calamari」に所属するプレイヤー。おもに前線ブキを広く使用し、キルよりもルール関与に寄ったプレイングが特徴。
1,shou,るすと並んで黒ZAP全1と称される前線のプレイヤー。特にシューター系統の対面能力が非常に高く、フェスの1傑も経験している。
2,あいすめ,非常に持ち替えの効く中後衛よりのマルチプレイヤー。リッターとチャージャー以外はほぼ全て使えると公言しており、相手のメタとなるブキであったり、チームの穴埋めとなるブキを場面に応じて持ち替えることができる。
3,あとばる,元プロチーム「Libalent Calamari」に所属するプレイヤー。主にH3リールガン系をメインブキとしており、前作ではH3リールガンチェリー、本作ではH3リールガンDを使用している。
4,うどん店長,チャージャー系統を使用するプレイヤー。前線に出てキルを取りに行くチャージャーとしては珍しいプレイングをするのが特徴。
5,えとな,プロチーム「GG BoyZ」に所属しているプレイヤー。前中衛のブキのほとんどを使いこなすマルチウェポナー。前作では「駒茶」という名前で活動していた。
6,かよたそ,キャンピングシェルターを主に使用するプレイヤー。癖の強いブキを使うことが多く、特にスプラトゥーン2で登場した「ウルトラハンコ」の扱いが非常に上手い。
7,くろす,元プロチーム「Libalent Clamari」に所属するプレイヤー。メインブキはブラスター系で特にラピッドブラスターベッチューを使用しており、キル力の高さは高い評価を得ている。
8,しぇるたん,とにかく持ち替えの幅が広いマルチプレイヤー。立ち回りが非常に柔軟で、試合中にも相手の動きにすぐに対応できる。
9,しめぴぃ,前中衛ブキを使いこなすマルチなプレイヤー。特にボトルガイザー、パラシェルターの練度は非常に高く、トッププレイヤーからも対面最強と呼ばれるほどに高いレベルで使いこなしている。
10,ダイナモン,プロチーム「GG BoyZ」に所属する人気プレイヤー。主にエクスプロッシャーなどの中後衛ブキを使用している。スプラトゥーンの世界大会にも出場しており、その実績はスプラ界でもトップレベル。
11,ちかし,元「Pixio monster+C13:C15」でキャンプ使いとして名高いプレイヤー。トッププレイヤーの一人であるるすのチームメイトであり、ウルトラハンコの練度も非常に高い。
